Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"Cooper University Health Care","505981","22-R-0159","Class R - Research Facility","Active","","1 Cooper Plaza","","CAMDEN, NJ 08103","Camden"
"Cytotheryx, Inc. (Cytotheryx Barrier)","506106","41-R-0091","Class R - Research Facility","Active","","PO Box 7193","","Rochester, MN 55903","Olmsted"
"TTUHSC El Paso (Texas Tech University Health Science Center El Paso)","506165","74-R-0231","Class R - Research Facility","Active","","MSC 31001","5001 El Paso Dr","EL PASO, TX 79905","El Paso"
"Clinvet USA LLC","506442","21-R-0248","Class R - Research Facility","Active","","1479 Talmadge Hill Road South","","Waverly, NY 14892","Tioga"
"Envigo RMS LLC","506554","32-R-0058","Class R - Research Facility","Active","","8520 Allison Pointe Blvd., Suite 400","","Indianapolis, IN 46250","Marion"
"Envigo Global Services Inc","506556","23-R-0187","Class R - Research Facility","Active","","310 Swamp Bridge Road","","DENVER, PA 17517","Lancaster"
"BASi Gaithersburg (Inotiv Gaithersburg)","506631","51-R-0103","Class R - Research Facility","Active","","13 First Field Road","","DARNESTOWN, MD 20878","Montgomery"
"Envol Biomedical LLC","506806","21-R-0250","Class R - Research Facility","Active","","555 Madison Ave","","NEW YORK, NY 10022","New York"
"Valley College","507018","31-R-0135","Class R - Research Facility","Active","","8700 BROOKPARK ROAD","","CLEVELAND, OH 44129","Cuyahoga"
"Utah Velley University","507019","87-R-0028","Class R - Research Facility","Active","","800 W University Parkway","","OREM, UT 84058","Utah"
"Nash Community College Veterinary Medical Tech","507281","55-R-0154","Class R - Research Facility","Active","","522 N Old Carriage Road","","ROCKY MOUNT, NC 27804","Nash"
"Northern Biomedical Research","507300","34-R-0168","Class R - Research Facility","Active","","1210 E Pontaluna Road","","Norton Shores, MI 49456","Muskegon"
"Bronco Research Services LLC (Inotiv)","507737","84-R-0091","Class R - Research Facility","Active","","PO Box 1417","","FORT COLLINS, CO 80522","Larimer"
"Attentive Science, LLC","507892","48-R-0118","Class R - Research Facility","Active","","17745 Metcalf Ave Building #4","","STILWELL, KS 66085","Johnson"
"Neuralink","507904","93-R-0586","Class R - Research Facility","Active","","35640 Fremont Blvd #629","","FREMONT, CA 94536","Alameda"
"AHED Of Ohio Inc (Rockford Career College)","507906","33-R-0162","Class R - Research Facility","Active","","1130 S Alpine Rd","Suite 100","ROCKFORD, IL 61108","Winnebago"
"Palm Beach Atlantic University Inc (Gregory School of Pharmacy)","508033","58-R-0166","Class R - Research Facility","Active","","901 S Flagler Drive","P.O. Box 24708","West Palm Beach, FL 33416","Palm Beach"
"BECTON, DICKINSON & COMPANY","508088","57-R-0130","Class R - Research Facility","Active","","1475 Athens Highway","","GRAYSON, GA 30017","Gwinnett"
"Hope Farms At Disco Bay, LLC","508132","91-R-0078","Class R - Research Facility","Active","","282088 US Hwy 101","","Port Townsend, WA 98368","Jefferson"
"Huckleberry Farms LLC","508247","35-R-0136","Class R - Research Facility","Active","","2706 County Road E","","MOUNT HOREB, WI 53572","Dane"
"Genovis Inc","508341","14-R-0219","Class R - Research Facility","Cancelled","","245 First Street","","CAMBRIDGE, MA 02142","Middlesex"
"Alcon Research LLC","508388","74-R-0234","Class R - Research Facility","Active","","6201 S Freeway R3-10","","FORT WORTH, TX 76134","Tarrant"
"Lawrence University","508507","35-R-0137","Class R - Research Facility","Active","","711 East Boldt Way","","APPLETON, WI 54911","Outagamie"
"Mountain West Research (Care Research)","508596","84-R-0093","Class R - Research Facility","Active","","6200 E. CR 56","","FORT COLLINS, CO 80524","Larimer"
"LFM Quality Laboratories Inc","508658","32-R-0060","Class R - Research Facility","Active","","15200 South Cypress St","","TERRE HAUTE, IN 47802","Vigo"
"Liberty University Inc (Liberty University College of Osteopathic Medicine)","508671","52-R-0137","Class R - Research Facility","Cancelled","","1971 University Blvd","","LYNCHBURG, VA 24515","Lynchburg City"
"Southeast Technical College","600227","46-R-0014","Class R - Research Facility","Active","","2320 N Career Avenue","","Sioux Falls, SD 57107","Minnehaha"
"Raven Medical Inc","600326","55-R-0155","Class R - Research Facility","Active","","4400 Bragg Blvd.","","Fayetteville, NC 28303","Cumberland"
