Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"University Of Alaska - Anchorage","38530","96-R-0006","Class R - Research Facility","Active","","3211 PROVIDENCE DRIVE","B O C ROOM 368","ANCHORAGE, AK 99508","Anchorage"
"Spring Point Project","38803","41-R-0076","Class R - Research Facility","Active","","121 S 8th St, Ste. 822","","Minneapolis, MN 55402","Hennepin"
"East Tennessee Clinical Research Inc","39091","63-R-0120","Class R - Research Facility","Active","","80 COPPER RIDGE FARM RD","","ROCKWOOD, TN 37854","Roane"
"Bergen Community College","39103","22-R-0140","Class R - Research Facility","Active","","400 PARAMUS RD","","PARAMUS, NJ 07652","Bergen"
"AFB International","39367","43-R-0119","Class R - Research Facility","Active","","PO Box 131","","Montgomery City, MO 63361","Montgomery"
"Sound Technologies Inc","39569","74-R-0189","Class R - Research Facility","Active","","2409 AVENUE J, SUITE C","","ARLINGTON, TX 76006","Tarrant"
"MG Biologics","39789","42-R-0051","Class R - Research Facility","Active","","2366 270TH ST.","","AMES, IA 50014","Boone"
"Thomas Walsh (CATS PAW FARM)","39947","11-R-0027","Class R - Research Facility","Active","","52 LEBANON RD","","NORTH BERWICK, ME 03906","York"
"American Type Culture Collections","40337","52-R-0119","Class R - Research Facility","Active","","10801 University Blvd","","Manassas, VA 20110","Manassas City"
"Adventhealth Nicholson Center (Florida Hospital)","40853","58-R-0153","Class R - Research Facility","Active","","NICHOLSON CENTER FOR SURGICAL ADVANCEMENT","404 CELEBRATION PLACE","CELEBRATION, FL 34747","Osceola"
"Accuro Farms Inc","40933","14-R-0200","Class R - Research Facility","Active","","346 Blackmer Rd","","Southbridge, MA 01550","Worcester"
"Tier 1 Group, LLC","41479","71-R-0111","Class R - Research Facility","Active","","3100 Angeletti Road","","CRAWFORDSVILLE, AR 72327","Crittenden"
"Covidien LP","41906","16-R-0049","Class R - Research Facility","Cancelled","","60 Middleton Avenue","","North Haven, CT 06473","New Haven"
"PAR Sterile Products LLC","41952","21-R-0244","Class R - Research Facility","Cancelled","","1400 Atwater Dr.","","MALVERN, PA 19355","Chester"
"The Methodist Hospital Research Institute (The Houston Methodist Research Institute)","42194","74-R-0226","Class R - Research Facility","Active","","6670 Bertner Ave","","HOUSTON, TX 77030","Harris"
"Des Moines Area Community College","42217","42-R-0042","Class R - Research Facility","Active","","2006 S. Ankeny Blvd., FFA, EC","","ANKENY, IA 50023","Polk"
"Siemens Healthcare Diagnostics Inc","42492","21-R-0249","Class R - Research Facility","Active","","511 Benedict Ave","","Tarrytown, NY 10591","Westchester"
"Exemplar Genetics","42842","42-R-0044","Class R - Research Facility","Active","","PO Box 829","","North Liberty, IA 52317","Johnson"
"The University of Tennessee - Chattanooga","43010","63-R-0126","Class R - Research Facility","Active","","615 MC CALLIE AVENUE","109 RACE HALL DEPT 4915","CHATTANOOGA, TN 37403","Hamilton"
"Loyola University Maryland","43300","51-R-0096","Class R - Research Facility","Cancelled","","4501 N Charles St","Attn: Biology Dept","Baltimore, MD 21210","Baltimore city"
