Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"Pacific BioLabs","1143","93-R-0189","Class R - Research Facility","Active","","551 LINUS PAULING DRIVE","","HERCULES, CA 94547","Contra Costa"
"Hubbs-SeaWorld Research Insitute","1146","93-R-0163","Class R - Research Facility","Active","","2595 Ingraham Street","","San Diego, CA 92109","San Diego"
"Foothill College (VETERINARY TECHNOLOGY PROGRAM)","1149","93-R-0136","Class R - Research Facility","Active","","12345 EL MONTE ROAD","","LOS ALTOS HILLS, CA 94022","Santa Clara"
"University of San Diego","1150","93-R-0131","Class R - Research Facility","Active","","5998 ALCALA PARK","","SAN DIEGO, CA 92110","San Diego"
"San Diego Mesa College (ANIMAL HEALTH TECHNOLOGY)","1153","93-R-0124","Class R - Research Facility","Active","","7250 MESA COLLEGE DRIVE, P-300","","SAN DIEGO, CA 92111","San Diego"
"Edwards Lifesciences LLC","1155","93-R-0121","Class R - Research Facility","Active","","One Edwards Way, Mailstop 44","","Irvine, CA 92614","Orange"
"Zoological Society Of San Diego","1156","93-R-0151","Class R - Research Facility","Active","","P. O. Box 120551","","San Diego, CA 92112","San Diego"
"Mount San Antonio College","1157","93-R-0117","Class R - Research Facility","Active","","1100 NORTH GRAND AVENUE","","WALNUT, CA 91789","Los Angeles"
"Cosumnes River College","1165","93-R-0080","Class R - Research Facility","Cancelled","","8401 Center Parkway","","Sacramento, CA 95823","Sacramento"
"Beckman Coulter Inc.","1167","93-R-0074","Class R - Research Facility","Active","","PO Box 938","","Winchester, CA 92596","Riverside"
"Salk Institute For Biological Studies","1169","93-R-0066","Class R - Research Facility","Active","","10010 N. Torrey Pines Road","","LA JOLLA, CA 92037","San Diego"
"Pierce College","1172","93-R-0053","Class R - Research Facility","Active","","6201 WINNETKA AVENUE","","WOODLAND HILLS, CA 91371","Los Angeles"
"Cedars-Sinai Medical Center (BURNS & ALLEN RESEARCH INSTITUTE)","1179","93-R-0032","Class R - Research Facility","Active","","8700 Beverly Blvd","","Los Angeles, CA 90048","Los Angeles"
"California Institute of Technology","1181","93-R-0028","Class R - Research Facility","Active","","1200 E. California Blvd","Mail Code 104-31","Pasadena, CA 91125","Los Angeles"
"SRI International","1182","93-R-0026","Class R - Research Facility","Active","","333 Ravenswood Ave","","Menlo Park, CA 94025","San Mateo"
"Sutter Institute for Medical Research","1183","93-R-0003","Class R - Research Facility","Active","","c/o Research Laboratory","P.O. Box 160727","SACRAMENTO, CA 95816","Sacramento"
"University of Southern California","1185","93-R-0020","Class R - Research Facility","Active","","3720 SOUTH FLOWER STREET, ROOM 325","","LOS ANGELES, CA 90089","Los Angeles"
"Loma Linda University","1186","93-R-0006","Class R - Research Facility","Active","","Research Affairs","24887 Taylor Street, Suite 201","LOMA LINDA, CA 92350","San Bernardino"
"City of Hope National Medical Center (BECKMAN RESEARCH INSTITUTE)","1187","93-R-0007","Class R - Research Facility","Active","","1500 EAST DUARTE ROAD","","DUARTE, CA 91010","Los Angeles"
"Lundquist Institute For Biomedical Innovation (L.A. BIOMED)","1189","93-R-0016","Class R - Research Facility","Active","","1124 WEST CARSON STREET","","TORRANCE, CA 90502","Los Angeles"
"Stanford University","1190","93-R-0004","Class R - Research Facility","Active","","1705 El Camino Real","Five Palo Alto Square, 4th Floor","PALO ALTO, CA 94306","Santa Clara"
"Childrens Hospital Los Angeles / The Saban Research Institute","1191","93-R-0011","Class R - Research Facility","Active","","4650 W. Sunset Blvd, MS #77","","Los Angeles, CA 90027","Los Angeles"
"Scripps Research Institute","1192","93-R-0015","Class R - Research Facility","Active","","10550 N. Torrey Pines Road, TPC-30","","La Jolla, CA 92037","San Diego"
"Colorado State University","1195","84-R-0003","Class R - Research Facility","Active","","203 Administration 2001 Campus Delivery","","FORT COLLINS, CO 80523","Larimer"
"Naval Information Warfare Center Pacific","1199","93-F-0005","Class F - Federal Research Facility","Active","","53560 HULL STREET","BIOSCIENCES DIVISION, CODE 71500","SAN DIEGO, CA 92152","San Diego"
"N.A.S.A. (AMES RESEARCH CENTER)","1200","93-F-0006","Class F - Federal Research Facility","Cancelled","","Bldg 239, RM, MS 239-11","","MOFFETT FIELD, CA 94035","Santa Clara"
"Naval Medical Center San Diego (DIVISION OF ANIMAL RESOURCE)","1202","93-F-0008","Class F - Federal Research Facility","Active","","34800 Bob Wilson Drive","Suite 5","San Diego, CA 92134","San Diego"
"60th Medical Group (AMC), MDSS/SGSE","1204","93-F-0022","Class F - Federal Research Facility","Active","","101 BODIN CIRCLE","","TRAVIS AFB, CA 94535","Solano"
"Tripler Army Medical Center","1205","95-F-0001","Class F - Federal Research Facility","Active","","DEPT. OF CLINICAL INVESTIGATION (M C H K - C I)","1 JARRETT WHITE ROAD, BLDG 40","TRIPLER ARMY HOSPITAL, HI 96859","Honolulu"
"Los Alamos National Laboratory","1206","85-F-0002","Class F - Federal Research Facility","Active","","P.O. Box 1663 Mailstop M325","","Los Alamos, NM 87545","Los Alamos"
"National Marine Mammals Labs AFSC, NMFS (ALASKA FISHERIES)","1207","91-F-0001","Class F - Federal Research Facility","Active","","1315 East-West Highway SSMC3","","SILVER SPRING, MD 20910","Montgomery"
"USDA APHIS WS NWRC","1209","84-F-0001","Class F - Federal Research Facility","Active","","4101 La Porte Avenue","","Fort Collins, CO 80521","Larimer"
"Dept. Of Clinical Investigations (Madigan Army Medical Center)","1212","91-F-0002","Class F - Federal Research Facility","Active","","9040 Fitzsimmons Drive","MCHJ-CI, Room G-15-C2","TACOMA, WA 98431","Pierce"
"Department of the Air Force (United States Air Force Academy)","1214","84-F-0009","Class F - Federal Research Facility","Active","","HQ USAFA, A3/9 Operations and Analysis","2304 Cadet Dr, Suite 3800","USAF Academy, CO 80840","El Paso"
"Lawrence Livermore National Laboratory","1245","93-F-0018","Class F - Federal Research Facility","Active","","P.O. BOX 808, L452","","LIVERMORE, CA 94551","Alameda"
"USDA - Forestry And Range Sciences Lab (Starkey Deer & Elk Res. & Dev.)","1262","92-F-0004","Class F - Federal Research Facility","Active","","1401 GEKELER LANE","","LA GRANDE, OR 97850","Union"
"Seattle Childrens Research Institute","1268","91-R-0059","Class R - Research Facility","Active","","1900 - 9TH AVENUE","","SEATTLE, WA 98101","King"
"Genesis Laboratories Inc.","1273","84-R-0051","Class R - Research Facility","Active","","P. O. Box 1195","","WELLINGTON, CO 80549","Larimer"
"Phoenix Pharmaceuticals Inc","1288","93-R-0382","Class R - Research Facility","Active","","330 Beach Road","","Burlingame, CA 94010","San Mateo"
"VA Medical Center #531","1314","82-V-0001","Class V - Veteran's Administration Hospital","Active","","500 WEST FORT STREET","","BOISE, ID 83702","Ada"
"VA Medical Center #554","1315","84-V-0002","Class V - Veteran's Administration Hospital","Active","","1700 N Wheeling Street","","Aurora, CO 80045","Denver"
"VA Medical Center #501","1316","85-V-0001","Class V - Veteran's Administration Hospital","Active","","1501 San Pedro Dr. SE","Building 10, VA Medical Center # 501","Albuquerque, NM 87108","Bernalillo"
"VA Medical Center #663","1320","91-V-0001","Class V - Veteran's Administration Hospital","Active","","MAIL STOP 151/1660 SOUTH COLUMBIAN WAY","","SEATTLE, WA 98108","King"
"VA Portland Health Care System (VAPORHCS)","1321","92-V-0001","Class V - Veteran's Administration Hospital","Active","","3710 SW US Veteran Hospital Road, Mailcode: P1DIR","","Portland, OR 97239","Clackamas"
"VA Medical Center #640 - Palo Alto","1322","93-V-0003","Class V - Veteran's Administration Hospital","Active","","3801 MIRANDA AVENUE","MAIL CODE 151-A","PALO ALTO, CA 94304","Santa Clara"
"VA Animal Research Facility #664 - San Diego","1323","93-V-0004","Class V - Veteran's Administration Hospital","Active","","3350 LA JOLLA VILLAGE DRIVE","","SAN DIEGO, CA 92161","San Diego"
"VA Medical Center  #662 - San Francisco","1324","93-V-0005","Class V - Veteran's Administration Hospital","Active","","4150 CLEMENT STREET","151 A C","SAN FRANCISCO, CA 94121","San Francisco"
