Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"Predators Of The Heart","8612","91-R-0083","Class R - Research Facility","Active","","6128 PARKSIDE DRIVE","","ANACORTES, WA 98221","Skagit"
"Ohio Northern University","8740","31-R-0040","Class R - Research Facility","Active","","525 SOUTH MAIN STREET","","ADA, OH 45810","Hardin"
"21st Century Medicine Inc.","8817","93-R-0430","Class R - Research Facility","Active","","14960 HILTON DRIVE","","FONTANA, CA 92336","San Bernardino"
"University Of The Ozarks","8977","71-R-0104","Class R - Research Facility","Active","","415 North College Ave","","CLARKSVILLE, AR 72830","Johnson"
"Allegheny-Singer Research Institute","9012","23-R-0154","Class R - Research Facility","Active","","9th Floor, 4 Allegheny Center","","PITTSBURGH, PA 15212","Allegheny"
"University of California-Berkeley","9191","93-R-0432","Class R - Research Facility","Active","","119 California Hall","","Berkeley, CA 94720","Alameda"
"University Of California Davis","9192","93-R-0433","Class R - Research Facility","Active","","One Shields Ave","","Davis, CA 95616","Yolo"
"University of California Irvine","9193","93-R-0434","Class R - Research Facility","Active","","324 ALDRICH HALL","","IRVINE, CA 92697","Orange"
"University of California Los Angeles","9194","93-R-0435","Class R - Research Facility","Active","","U.C.L.A. School of Medicine - DLAM","10833 Le Conte Ave, Room 16-222 CHS","Los Angeles, CA 90095","Los Angeles"
"University Of California - Riverside","9195","93-R-0436","Class R - Research Facility","Active","","OFFICE OF RESEARCH INTEGRITY","200 UNIVERSITY OFFICE BUILDING","RIVERSIDE, CA 92521","Riverside"
"University Of California-San Diego","9196","93-R-0437","Class R - Research Facility","Active","","IACUC OFFICE, MAIL CODE 0071","9500 GILMAN DRIVE","LA JOLLA, CA 92093","San Diego"
"University Of California-Santa Barbara","9197","93-R-0438","Class R - Research Facility","Active","","OFFICE OF RESEARCH","","SANTA BARBARA, CA 93106","Santa Barbara"
"University Of California-Santa Cruz","9198","93-R-0439","Class R - Research Facility","Active","","Kerr Hall, 1156 High St","Long Marine Lab","Santa Cruz, CA 95064","Santa Cruz"
"University Of California San Francisco","9199","93-R-0440","Class R - Research Facility","Active","","U C S F BOX 0547","","SAN FRANCISCO, CA 94143","San Francisco"
"Q Test, Ltd","9423","31-R-0114","Class R - Research Facility","Active","","P.O. Box 12381","","Columbus, OH 43212","Franklin"
"DaVinci Biomedical Research Products, Inc.","9446","14-R-0148","Class R - Research Facility","Active","","PO Box 1125","","South Lancaster, MA 01561","Worcester"
"Lemur Conservation Foundation","9738","58-R-0128","Class R - Research Facility","Active","","P.O. Box 249","","Myakka City, FL 34251","Manatee"
"Joliet Junior College","9971","33-R-0126","Class R - Research Facility","Active","","1215 HOUBOLT RD","","JOLIET, IL 60431","Will"
"Low Country Biosource Inc","10055","56-R-0110","Class R - Research Facility","Active","","6133 Mount Carmel Rd","","Walterboro, SC 29488","Colleton"
"AHED Of Ohio Inc (STAUTZENBERGER COLLEGE)","10115","31-R-0113","Class R - Research Facility","Active","","1796 INDIAN WOOD CIRCLE","","MAUMEE, OH 43537","Lucas"
"Pharmaron (San Diego) Lab Services LLC","10138","93-R-0444","Class R - Research Facility","Active","","2820 Loker Ave E","","Carlsbad, CA 92010","San Diego"
"Oklahoma State University - Oklahoma City","10214","73-R-0112","Class R - Research Facility","Active","","900 N. Portland Avenue","","OKLAHOMA CITY, OK 73107","Oklahoma"
"Arrowhead Pharmaceuticals Inc. (Madison)","10701","35-R-0140","Class R - Research Facility","Active","","502 S Rosa Rd","","Madison, WI 53719","Dane"
"Suny State College Of Optometry","10866","21-R-0196","Class R - Research Facility","Active","","33 WEST 42ND STREET","","NEW YORK NEW YORK, NY 10036","New York"
"Hackensack Meridian Health (Center for Discovery and Innovation)","11697","22-R-0146","Class R - Research Facility","Active","","123 Metro Blvd, Building 123 A","","NUTLEY, NJ 07110","Essex"
"Center For Biologics Evaluation & Research","12776","51-F-0024","Class F - Federal Research Facility","Active","","FDA WHITE OAK BUILDING 71, ROOM 1004","10903 NEW HAMPSHIRE AVE","SILVER SPRING, MD 20993","Montgomery"
"Center For Veterinary Medicine","12782","51-F-0026","Class F - Federal Research Facility","Active","","7500 STANDISH PLACE","","ROCKVILLE, MD 20855","Montgomery"
"FDA Human Foods Program","12784","51-F-0029","Class F - Federal Research Facility","Active","","1 Iberville Dr","","Dauphin Island, AL 36528",""
"WVC","13006","88-R-0003","Class R - Research Facility","Active","","2425 EAST OQUENDO ROAD","","LAS VEGAS, NV 89120","Clark"
"Genesis Midwest LLC","13171","35-R-0116","Class R - Research Facility","Active","","N6230 County Road G","","Neillsville, WI 54456","Clark"
"Pet Food Solution LLC","13318","43-R-0117","Class R - Research Facility","Active","","562 State Road DD","","AUXVASSE, MO 65231","Callaway"
"Noble Life Sciences Inc","13428","51-R-0092","Class R - Research Facility","Active","","1500 Fannie Dorsey Rd","","Sykesville, MD 21784","Carroll"
"Grand Valley State University","13477","34-R-0149","Class R - Research Facility","Active","","049 James H Zumberge Hall, 1 Campus Drive","","Allendale, MI 49401","Ottawa"
"Cell Signaling Technology, Inc.","14167","14-R-0157","Class R - Research Facility","Active","","3 TRASK LANE","","DANVERS, MA 01923","Essex"
"Fabgennix International, Inc","14297","74-R-0230","Class R - Research Facility","Active","","9191 Kyser Way","Bldg. 4 , Suite 402","Frisco, TX 75033","Denton"
"Biomune Company (Ceva)","14439","48-R-0107","Class R - Research Facility","Active","","8906 Rosehill Rd","","Lenexa, KS 66215","Johnson"
"The Binding Site VT INC","14681","13-R-0011","Class R - Research Facility","Active","","3697 ROUTE 144","","FAIRHAVEN, VT 05743","Rutland"
"Pima Community College- East Campus","15053","86-R-0033","Class R - Research Facility","Active","","8181 EAST IRVINGTON ROAD","","TUCSON, AZ 85709","Pima"
"Triple J Farms & Kent Labs","15097","91-R-0054","Class R - Research Facility","Active","","777 JORGENSEN PLACE","","BELLINGHAM, WA 98226","Whatcom"
"Western University of Health Sciences","15322","93-R-0464","Class R - Research Facility","Active","","309 East Second Street","","Pomona, CA 91766","Los Angeles"
"WuXi AppTec Inc. (NAMSA)","15690","41-R-0061","Class R - Research Facility","Active","","2540 EXECUTIVE DRIVE","","SAINT PAUL, MN 55120","Ramsey"
"Nova Southeastern University (CENTER FOR COLLABORATIVE RESEARCH CCR)","15933","58-R-0165","Class R - Research Facility","Active","","3301 COLLEGE AVE","","FORT LAUDERDALE, FL 33314","Broward"
"Alamogordo Primate Facility","16855","85-F-0003","Class F - Federal Research Facility","Active","","BOX 956, NEW MEXICO AVENUE","","HOLLOMAN AFB, NM 88330","Otero"
"Frostburg State University","16889","51-R-0086","Class R - Research Facility","Active","","101 Braddock Road","","Frostburg, MD 21532","Allegany"
"Neotech LLC","17184","63-R-0116","Class R - Research Facility","Active","","10061 HWY 22","","DRESDEN, TN 38225","Weakley"
"Northwest Center For Medical Education","17782","32-R-0041","Class R - Research Facility","Active","","3400 BROADWAY","","GARY, IN 46408","Lake"
"Ogeechee Technical College","18033","57-R-0127","Class R - Research Facility","Active","","ONE JOE KENNEDY BLVD","","STATESBORO, GA 30458","Bulloch"
"Mc Lennan Community College","18136","74-R-0177","Class R - Research Facility","Active","","1400 COLLEGE DRIVE","","WACO, TX 76708","McLennan"
"Alfred State College","18374","21-R-0228","Class R - Research Facility","Active","","10 UPPER CAMPUS DR","","ALFRED, NY 14802","Allegany"
"Rocky Mountain Bio Labs","18462","84-R-0065","Class R - Research Facility","Active","","PO BOX 519","","Crested Butte, CO 81224","Gunnison"
"Valley Biosystems","18820","93-R-0479","Class R - Research Facility","Active","","P.O. Box 2216","","West Sacramento, CA 95691","Yolo"
"Research Institute At Nationwide Childrens Hospital","18920","31-R-0116","Class R - Research Facility","Active","","700 CHILDRENS DRIVE","","COLUMBUS, OH 43205","Franklin"
"Pharmgate Biologics INC","19782","41-R-0063","Class R - Research Facility","Active","","2575 UNIVERSITY AVE W SUITE 100","","SAINT PAUL, MN 55114","Ramsey"
"US Government Smithsonian Institution (National Zoological Park)","20133","10-F-0010","Class F - Federal Research Facility","Active","","PO BOX 37012/MRC 5508","","WASHINGTON, DC 20013","District of Columbia"
"University Of Central Arkansas","20222","71-R-0112","Class R - Research Facility","Active","","Dept. of Biology, 180 Lewis Science Center","","CONWAY, AR 72035","Faulkner"
"Ibex Preclinical Research Inc.","21308","87-R-0022","Class R - Research Facility","Active","","1072 West Rsi Drive","","Logan, UT 84321","Cache"
"Novartis Institutes For Biomedical Research Inc","21373","14-R-0164","Class R - Research Facility","Active","","181 Massachusetts Ave","Attn: Head, Animal Welfare Compliance","Cambridge, MA 02139","Middlesex"
"Hygieia Biological Laboratories","22308","93-R-0571","Class R - Research Facility","Active","","P.O. BOX 8300","","WOODLAND, CA 95776","Yolo"
"Sound Pharmaceuticals, Inc.","23329","91-R-0080","Class R - Research Facility","Active","","4010 Stone Way N","Suite 120","Seattle, WA 98103","King"
