Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"Vermont Technical College","265","13-R-0009","Class R - Research Facility","Active","","124 Admin Drive","","RANDOLPH CENTER, VT 05061","Orange"
"Rhode Island Hospital","266","15-R-0002","Class R - Research Facility","Active","","Middle House 4th and 5th","","Providence, RI 02903","Providence"
"Brown University","267","15-R-0003","Class R - Research Facility","Active","","Box G-B 222","","PROVIDENCE, RI 02912","Providence"
"University of Rhode Island","268","15-R-0004","Class R - Research Facility","Active","","70 Lower College Road","","Kingston, RI 02881","Washington"
"University of Vermont (STATE AGRICULTURAL COLLEGE)","273","13-R-0001","Class R - Research Facility","Active","","116 HILLS BUILDING","","BURLINGTON, VT 05405","Chittenden"
"West Virginia University","276","54-R-0001","Class R - Research Facility","Active","","886 CHESTNUT RIDGE RD","P O BOX 6845","MORGANTOWN, WV 26506","Monongalia"
"Pierpont Community Technical College","278","54-R-0003","Class R - Research Facility","Active","","501 west Main Street","","Clarksburg, WV 26301","Harrison"
"Marshall University","279","54-R-0004","Class R - Research Facility","Active","","1 John Marshall Dive","","HUNTINGTON, WV 25755","Cabell"
"State University Of New York (College Of Technology / Canton)","282","21-R-0013","Class R - Research Facility","Active","","NEWELL VET TECH CENTER","101B 34 CORNELL DR","CANTON, NY 13617","St. Lawrence"
"Thomas Jefferson University","285","23-R-0011","Class R - Research Facility","Active","","1020 LOCUST ST","Jeff Alumni Hall, Suite M41","PHILADELPHIA, PA 19107","Philadelphia"
"Glaxo Smith Kline","286","23-R-0012","Class R - Research Facility","Active","","1250 South Collegeville Rd. UP3400","","COLLEGEVILLE, PA 19426","Montgomery"
"New York Blood Center Inc","287","21-R-0008","Class R - Research Facility","Active","","310 EAST 67TH STREET","","NEW YORK NEW YORK, NY 10065","New York"
"St Johns University","288","21-R-0012","Class R - Research Facility","Active","","8000 UTOPIA PARKWAY","","JAMAICA, NY 11439","Queens"
"University of Pittsburgh","289","23-R-0016","Class R - Research Facility","Active","","3500 Terrace Street","S1040 TE STARZL BIOMEDICAL SCIENCE TOWER","Pittsburgh, PA 15261","Allegheny"
"University At Binghamton (State University Of New York)","290","21-R-0231","Class R - Research Facility","Active","","DIVISION OF RESEARCH","PO BOX 6000","BINGHAMTON, NY 13902","Broome"
"Masonic Medical Research Institute","291","21-R-0017","Class R - Research Facility","Active","","2150 BLEECKER STREET","","UTICA, NY 13501","Oneida"
