Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"University of Missouri- Columbia","1461","43-R-0048","Class R - Research Facility","Active","","310 Jesse Hall","","COLUMBIA, MO 65211","Boone"
"University of Missouri - Kansas City","1462","43-R-0047","Class R - Research Facility","Active","","5100 ROCKHILL RD","","KANSAS CITY, MO 64110","Jackson"
"University of Texas Southwestern Medical Center (Southwestern Medical Center at Dallas)","1464","74-R-0072","Class R - Research Facility","Active","","5323 HARRY HINES BLVD","","DALLAS, TX 75390","Dallas"
"Tulane University","1467","72-R-0002","Class R - Research Facility","Active","","1440 Canal St., Suite 949 #8401","","New Orleans, LA 70112","Orleans"
"University Of Oklahoma (Health Sciences Center)","1468","73-R-0007","Class R - Research Facility","Active","","800 Research Parkway, Suite 468","","Oklahoma City, OK 73104","Oklahoma"
"University of Texas (Medical Branch at Galveston)","1469","74-R-0073","Class R - Research Facility","Active","","301 UNIVERSITY BLVD","","GALVESTON, TX 77555-0158","Galveston"
"University Of Arkansas Fayettville","1470","71-R-0116","Class R - Research Facility","Active","","1424 W. Martin Luther King Jr. Blvd  MLKG 102","","Fayetteville, AR 72701","Washington"
"University of Texas-Dallas","1472","74-R-0066","Class R - Research Facility","Active","","P. O. BOX 830688 M/S M P 15","","RICHARDSON, TX 75083","Dallas"
"University of Texas- El Paso","1473","74-R-0069","Class R - Research Facility","Active","","500 W UNIVERSITY AVE","I A C U C OFFICE, ADMIN. 209","EL PASO, TX 79968","El Paso"
"University of Texas San Antonio","1474","74-R-0070","Class R - Research Facility","Active","","ONE U T S A  CIRCLE","","SAN ANTONIO, TX 78249","Bexar"
"University of Texas - M.D. Anderson Cancer Center","1476","74-R-0065","Class R - Research Facility","Active","","1515 HOLCOMBE BLVD BOX 1640","","HOUSTON, TX 77030","Harris"
"University of Texas (Health Science Center at Tyler - Vivarium)","1477","74-R-0078","Class R - Research Facility","Active","","11937 U S HWY 271","","TYLER, TX 75708","Smith"
"Texas Heart Institute","1478","74-R-0037","Class R - Research Facility","Active","","P.O. Box 20345","","Houston, TX 77225","Fort Bend"
"Texas Tech University","1480","74-R-0108","Class R - Research Facility","Active","","1008 Canton Ave","","Lubbock, TX 79409","Lubbock"
"Texas Tech University H S C","1481","74-R-0050","Class R - Research Facility","Active","","3601 4th Street STOP 9001","Room BC101","LUBBOCK, TX 79430","Lubbock"
"Texas Woman’s University (Office of Research and Sponsored Programs)","1482","74-R-0040","Class R - Research Facility","Active","","OFFICE OF RES AND SPONSORED PROGRAMS","PO BOX 425619","DENTON, TX 76204","Denton"
"Louisiana State University System","1484","72-R-0003","Class R - Research Facility","Active","","Office of Academic Affairs","156 Thomas Boyd Hall","Baton Rouge, LA 70803","East Baton Rouge"
"Louisiana Tech UniversityY (Office Of Vice President For Res. & Devel.)","1485","72-R-0010","Class R - Research Facility","Active","","P.O. BOX 8577","","RUSTON, LA 71272","Lincoln"
"Maple Woods Community College","1488","43-R-0029","Class R - Research Facility","Active","","2601 N E BARRY RD","","KANSAS CITY, MO 64156","Clay"
"BAROMEDICAL RESEARCH INSTITUTE","1492","72-R-0019","Class R - Research Facility","Active","","1816 INDUSTRIAL BLVD","","HARVEY, LA 70058","Jefferson"
"Kansas State University","1494","48-R-0001","Class R - Research Facility","Active","","203 FAIRCHILD HALL","","MANHATTAN, KS 66506","Riley"
"Texas A & M University-Kingsville","1497","74-R-0094","Class R - Research Facility","Active","","M S C 201, 700 University Blvd","","KINGSVILLE, TX 78363","Kleberg"
